"eventid","hhnum","whogotpnum","whogot_flag","athome","schoolmeal_flag","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_filltype","chain","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnaptype","free","free_flag2","totalpaid","totalpaid_flag","tipamt","tipamt_flag","receiptreportedph","receiptobserved","couponsreported","loyaltycard","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_tanf","giftcard","schoollunchcard","paytype_flag","iteminfotype","breakfast","lunch","dinner_supper","snack_drink","multmeals","meals_flag","atepnum1","atepnum2","atepnum3","atepnum4","atepnum5","atepnum6","atepnum7","atepnum8","atepnum9","atepnum10","atepnum11","atepnum12","atepnum13","atepnum14","numhhpeople","numotherpeople","booktype","bookpnum","whogotate","bookownergot","bookownerate","bookownerate_flag","startdate_flag","practice_flag","capture_flag","frommemory"
63198,100214,1,0,0,0,6/30/2012,2,6,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,1.99,0,,0,-996,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,1,0,1,0
69123,101187,3,0,0,0,12/5/2012,0,12,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,,0,-996,0,-996,0,-996,-996,0,,,,,,,,,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",3,1,1,1,0,0,0,1,0
69124,101187,3,0,0,0,12/6/2012,0,12,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",3,1,1,1,0,0,0,1,0
69126,101187,4,0,0,0,12/5/2012,0,12,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",4,1,1,1,0,0,0,1,0
57499,101323,10,0,0,0,8/14/2012,0,8,7,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-996,"Youth",10,1,1,1,0,0,0,1,0
62570,102167,1,0,0,0,6/11/2012,0,6,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,51,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,1,0,"Primary",1,1,1,1,0,0,0,1,0
7996,102269,2,0,0,0,5/14/2012,2,5,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,0.6,0,,0,,-996,0,0,0,,,,,,,,,4,3,,,,,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Adult",2,1,1,1,0,1,0,0,0
52823,102862,1,0,0,0,10/3/2012,0,9,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",,0,,0,,0,-996,0,0,0,0,,,,,,,,,0,3,,,,,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
70417,103023,2,0,0,0,12/14/2012,0,12,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,,0,-996,0,-996,0,-996,-996,0,,,,,,,,,0,2,,,,,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",2,1,1,1,0,0,0,1,0
69209,103338,4,1,0,0,10/13/2012,0,10,5,0,,4,,402,,,0,,,,9,,,,,,0,".V",,0,,0,,0,-996,0,0,0,0,,,,,,,,,0,3,0,1,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,0,0,0,0,0,1,0
65887,103848,4,1,0,0,12/11/2012,0,12,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,4,5,,0,-996,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,4,0,1,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,0,0,0,0,0,1,0
60280,104180,2,0,0,0,7/18/2012,0,7,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,50,0,,0,-996,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,3,"Adult",2,1,1,1,0,0,0,1,0
68873,104310,1,0,0,0,10/20/2012,0,10,3,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,270,0,,0,-996,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
63620,104609,1,0,0,0,8/26/2012,0,8,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,7.43,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,1,1,0
63832,104921,4,0,0,0,10/5/2012,0,10,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",4,1,1,1,0,0,0,1,0
65888,105441,1,0,0,0,11/29/2012,0,11,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,6.35,0,0,0,-996,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
65384,106184,3,0,0,0,8/24/2012,0,8,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,,,,,0,0,0,0,1,0,0,0,0,0,-996,-996,-996,-996,-996,-996,1,-996,"Youth",3,1,1,1,0,0,0,1,0
64123,106415,1,0,0,0,8/23/2012,0,8,2,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,2,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,0,"Primary",1,1,1,1,0,0,0,1,0
16524,107701,1,0,0,0,6/25/2012,0,6,3,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,,0,0,-996,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,0,1,0,0,0,1,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,2,0,"Primary",1,1,1,1,0,0,0,0,1
70602,107769,1,0,0,0,12/18/2012,0,12,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,3,5,,0,-996,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,4,,,,,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
62864,108011,1,0,0,0,8/24/2012,0,8,7,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,1,,0,,0,-996,0,0,0,0,,,,,,,,,0,2,0,1,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
65877,108309,1,0,0,0,12/17/2012,0,12,1,3,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,2.18,0,,0,-996,4,0,0,1,1,0,0,0,0,0,0,0,0,3,,,,,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
61183,108572,1,0,0,0,6/27/2012,0,6,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,2.5,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,0,"Primary",1,1,1,1,0,0,0,1,0
55574,108774,5,0,0,0,9/17/2012,0,9,3,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55576,108774,5,0,0,0,9/18/2012,0,9,4,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55577,108774,5,0,0,0,9/18/2012,0,9,4,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55579,108774,5,0,0,0,9/19/2012,0,9,5,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55580,108774,5,0,0,0,9/19/2012,0,9,5,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55583,108774,5,0,0,0,9/20/2012,0,9,6,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,0,0,0,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",5,1,1,1,0,0,0,1,0
55186,109041,1,0,0,0,9/21/2012,0,9,3,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,,0,-996,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,0,1,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
67352,109258,2,0,0,0,10/17/2012,0,10,4,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,10,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-996,1,3,"Adult",2,1,1,1,0,0,0,1,0
67353,109258,2,0,0,0,10/18/2012,0,10,5,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,0,5,0,,0,-996,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-996,1,3,"Adult",2,1,1,1,0,0,0,1,0
61987,109272,6,0,0,0,8/17/2012,0,8,4,2,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,-996,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,1,1,0,0,1,0,0,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,1,-996,"Youth",6,1,1,1,0,0,0,1,0
71203,109346,6,1,0,0,6/22/2012,0,6,1,0,,4,,402,,,0,,,,9,,,,,,0,".V",1,0,0,0,,0,-996,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,5,,,,,0,0,0,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,0,0,0,0,0,1,0
62704,109493,1,0,0,0,6/4/2012,0,6,4,0,,4,,402,,,0,,,,9,,,,,,0,".V",0,1,,0,,0,-996,0,0,0,0,,,,,,,,,0,2,0,1,0,0,0,0,1,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,,"Primary",1,1,1,1,0,0,0,1,0
