"hhnum","eventid","itemnum","bundlenum","bundletype","menugrp","nonschmealitem","itemdesc","itemdescsource","quantity","quantity_flag","size","size_flag","sizeunit","sizeunit_flag","sizerelative","gramstotal","additem_flag","itemcost","itemcost_flag","totitemcost","free","free_flag2","impitemcost","impcostmethod","imptotcost"
100012,65766,1,,,"TOP",-996,"Double Cheeseburger",7,1,0,,0,,0,,165,0,0,0,0,1,0,,-996,
100012,65767,1,,,"BEV",-996,"REGULAR SODA, SPRITE, SIERRA MIST, MOUNTAIN DEW",5,3,0,12,0,"OZ",1,,1108.8,0,0.5,0,1.5,0,0,,-996,
100012,65768,4,,,"SCH",0,"PICKLE",5,1,0,,0,,0,,25.125283674257,0,0,0,0,0,0,,-996,
100012,65768,3,,,"SCH",0,"TURKEY SANDWICH",5,1,0,,0,,0,,154.09380314502,0,0,0,0,0,0,,-996,
100012,65768,2,,,"BEV",0,"JUICE, APPLE",5,1,0,6,0,"OZ",1,,135.396570011446,0,0,0,0,0,0,,-996,
100012,65768,6,,,"SCH",0,"COOL RANCH DORITOS",6,1,0,1,0,"OZ",1,,31.8186428571428,0,0.5,0,0.5,0,0,,-996,
100012,65768,1,,,"SCH",0,"SAUSAGE BISCUIT",5,1,0,,0,,0,,121.388834951456,0,0,0,0,0,0,,-996,
100012,65768,5,,,"BEV",0,"JUICE, APPLE",5,2,0,6,0,"OZ",1,,270.793140022892,0,0,0,0,0,0,,-996,
100012,65771,1,,,"BEV",-996,"REGULAR SODA, SPRITE, SIERRA MIST, MOUNTAIN DEW",5,1,0,12,0,"OZ",1,,369.6,0,0.5,0,0.5,0,0,,-996,
100012,65772,1,,,"BEV",-996,"REGULAR SODA, SPRITE, SIERRA MIST, MOUNTAIN DEW",5,1,0,20,0,"OZ",1,,616,0,1.52,0,1.52,0,0,,-996,
100012,65793,8,,,"SCH",0,"COOL RANCH DORITOS",6,1,0,,0,,0,,31.8186428571428,0,0.5,0,0.5,1,4,,-996,
100012,65793,1,,,"SCH",0,"STRAWBERRY POPTART",6,1,0,,0,,0,,85.6298817567571,0,0,0,0,1,4,,-996,
100012,65793,6,,,"BEV",0,"JUICE, APPLE",5,1,0,6,0,"OZ",1,,135.396570011446,0,0,0,0,1,4,,-996,
100012,65793,5,,,"SCH",0,"CHEETOS",6,1,0,1,0,"OZ",1,,28.67824933687,0,0,0,0,1,4,,-996,
100012,65793,7,,,"SCH",0,"CHEETOS",6,1,0,,0,,0,,28.67824933687,0,0.5,0,0.5,1,4,,-996,
100012,65793,2,,,"BEV",0,"JUICE, APPLE",5,1,0,6,0,"OZ",1,,135.396570011446,0,0,0,0,1,4,,-996,
100012,65793,4,,,"SCH",0,"FRENCH FRIES",5,1,0,,0,,0,,72.690590500642,0,0,0,0,1,4,,-996,
100012,65793,3,,,"SCH",0,"SPAGHETTI OR PASTA WITH SAUCE",5,1,0,,0,,0,,238.033890675241,0,0,0,0,1,4,,-996,
100012,65794,3,,,"SCH",0,"POTATO CHIPS",5,1,0,,0,,0,,28.67824933687,0,0.5,0,0.5,0,0,,-996,
100012,65794,1,,,"SCH",0,"SAUSAGE BISCUIT",5,1,0,,0,,0,,121.388834951456,0,0,0,0,0,0,,-996,
100012,65794,4,,,"GEN",1,"CRUNCH BAR",6,1,0,,0,,0,,15.9,0,0.25,0,0.25,0,0,,-996,
100012,65794,2,,,"BEV",0,"WATER, NFS",5,1,0,,0,,0,,291.0915625,0,0.75,0,0.75,0,0,,-996,
100012,65795,5,,,"SCH",0,"POTATO CHIPS",5,1,0,,0,,0,,28.67824933687,0,1,0,1,0,0,,-996,
100012,65795,1,,,"SCH",0,"SAUSAGE BISCUIT",5,1,0,,0,,0,,121.388834951456,0,0,0,0,0,0,,-996,
100012,65795,3,,,"SCH",0,"ICE CREAM SANDWICH OR BAR (ANY TYPE)",5,1,0,,0,,0,,68.8480769230769,0,0,0,0,0,0,,-996,
100012,65795,4,,,"BEV",0,"WATER, NFS",5,1,0,,0,,0,,291.0915625,0,1,0,1,0,0,,-996,
100012,65795,2,,,"SCH",0,"BBQ RIB SANDWICH",6,1,0,,0,,0,,156.956376146789,0,0,0,0,0,0,,-996,
100012,65796,1,,,"TOP",-996,"Pepperoni, Pan Pizza",7,2,0,,0,,0,,2048,0,0,0,0,1,0,,-996,
100012,66217,1,,,"SCH",0,"STRAWBERRY POP TART",6,2,0,,0,,0,,171.259763513514,0,0,0,0,1,0,,-996,
100012,66217,2,,,"BEV",0,"JUICE, APPLE",5,1,0,4,0,"OZ",1,,135.396570011446,0,0,0,0,1,0,,-996,
100012,66218,3,,,"SCH",0,"HALF CHILL PEAR",6,1,0,,0,,0,,121.704482758621,0,0,0,0,1,0,,-996,
100012,66218,1,,,"SCH",0,"CORN DOG",5,1,0,6,0,"SMALL",0,,94.7235152487966,0,0,0,0,1,0,,-996,
100012,66218,6,1,6,"SCH",0,"GARDEN SALAD",6,1,0,,0,,0,,42.5705758426966,2,0,0,0,1,0,,-996,
100012,66218,5,,,"BEV",0,"JUICE, APPLE",5,1,0,4,0,"OZ",1,,135.396570011446,0,0,0,0,1,0,,-996,
