"hhnum","eventid","itemnum","itemdesc","itemdescsource","itemdesc_flag","barcode","barcodesource","upcreceiptmatch","iri","barcode_original","itemreportmethod","itemassignmethod","totgramsunadj","totgramsunadjimp","pkgsize","pkgsizeunit","fluidozgrams","eggsize","quantity","varwgtlbs","varwgtcount","pkgwtsource","totitemexp","totitemexpnocoupons","totstoresavings","coupons","totitemexp_flag","free","imputedexp","imputedvalue","imputemethod","scandate_flag"
100012,65792,1,,1,0,"051933267503",1,,1,".V",1,2,340.2,,12,"OZ",,,1,,,1,0.89,0.89,0,0,0,0,-996,-996,-996,0
100012,65792,2,,1,0,"051933161825",1,,3,".V",1,2,,,,,30.7,,1,,,,0.79,0.79,0,0,0,0,-996,-996,-996,0
100012,66220,1,,1,0,"051933161825",1,,3,".V",1,2,,,,,30.7,,1,,,,0.79,0.79,0,0,0,0,-996,-996,-996,0
100012,66220,2,,1,0,"071921005399",1,,1,".V",1,2,496.125,,17.5,"OZ",,,1,,,1,3.19,3.19,0,0,0,0,-996,-996,-996,0
100012,66220,3,,1,0,"051933161825",1,,3,".V",1,2,,,,,30.7,,1,,,,0.79,0.79,0,0,0,0,-996,-996,-996,0
100012,66220,4,,1,0,"051933161825",1,,3,".V",1,2,,,,,30.7,,1,,,,0.79,0.79,0,0,0,0,-996,-996,-996,0
100012,66220,5,,1,0,"071921005399",1,,1,".V",1,2,496.125,,17.5,"OZ",,,1,,,1,3.19,3.19,0,0,0,0,-996,-996,-996,0
100012,66220,6,,1,0,"071921005399",1,,1,".V",1,2,496.125,,17.5,"OZ",,,1,,,1,3.19,3.19,0,0,0,0,-996,-996,-996,0
100012,66220,7,"BUSH LT 4/6 CAN",3,0,,0,,4,".V",4,2,480,,16,"OZ",30,,1,,,3,4.49,4.49,0,0,0,0,-996,-996,-996,-996
100012,66220,8,"BUSH LT 4/6 CAN",3,0,,0,,4,".V",4,2,480,,16,"OZ",30,,1,,,3,4.49,4.49,0,0,0,0,-996,-996,-996,-996
100012,66221,1,,1,0,"024300043024",1,,1,".V",1,2,594.783,,20.98,"OZ",,,1,,,1,3.5,3.5,0,0,0,0,-996,-996,-996,0
100012,66221,2,"BUTTERMILK PANCAKE MD",3,0,"051933281059",2,,4,".V",1,2,324.6075,,11.45,"OZ",,,1,,,3,1,1,0,0,0,0,-996,-996,-996,0
100012,66221,3,,1,0,"072494512987",1,,1,".V",1,2,595.35,,21,"OZ",,,1,,,1,4.49,4.49,0,0,0,0,-996,-996,-996,0
100012,66222,1,,1,0,"016000419650",1,,1,".V",1,2,697.41,,24.6,"OZ",,,1,,,1,2.79,2.79,0,0,0,0,-996,-996,-996,0
100012,66222,2,,1,0,"016000260412",1,,1,".V",1,2,686.07,,24.2,"OZ",,,1,,,1,2.79,2.79,0,0,0,0,-996,-996,-996,0
100012,66222,3,,1,0,"016000419681",1,,1,".V",1,2,657.72,,23.2,"OZ",,,1,,,1,2.79,2.79,0,0,0,0,-996,-996,-996,0
100012,66222,4,,1,0,"051933321700",1,,1,".V",1,2,1305.6,,48,"OZ",27.2,,1,,,1,2.79,2.79,0,0,0,0,-996,-996,-996,0
100012,66222,5,,1,0,"051933203402",1,,3,".V",1,2,,,,,,,1,,,,1.99,1.99,0,0,0,0,-996,-996,-996,0
100012,66222,6,,1,0,"051933114821",1,,1,".V",1,2,680.4,,24,"OZ",,,1,,,1,0.99,0.99,0,0,0,0,-996,-996,-996,0
100012,66222,7,"FP TOP SIRLOIN STEAK",3,0,"200320505920",2,,3,".V",1,2,,,,,,,1,,,,5.92,5.92,0,0,0,0,-996,-996,-996,0
100012,66222,8,"FP TOP SIRLOIN STEAK",3,0,"200320305568",2,,3,".V",1,2,,,,,,,1,,,,5.56,5.56,0,0,0,0,-996,-996,-996,0
100012,66222,9,"FP TOP SIRLOIN STEAK",3,0,"200320605774",2,,3,".V",1,2,,,,,,,1,,,,5.77,5.77,0,0,0,0,-996,-996,-996,0
