"hhnum","hhwgt","hhwgt1","hhwgt2","hhwgt3","hhwgt4","hhwgt5","hhwgt6","hhwgt7","hhwgt8","hhwgt9","hhwgt10","hhwgt11","hhwgt12","hhwgt13","hhwgt14","hhwgt15","hhwgt16","hhwgt17","hhwgt18","hhwgt19","hhwgt20","hhwgt21","hhwgt22","hhwgt23","hhwgt24","hhwgt25","hhwgt26","hhwgt27","hhwgt28","hhwgt29","hhwgt30","hhwgt31","hhwgt32","hhwgt33","hhwgt34","hhwgt35","hhwgt36","hhwgt37","hhwgt38","hhwgt39","hhwgt40","hhwgt41","hhwgt42","hhwgt43","hhwgt44","hhwgt45","hhwgt46","hhwgt47","hhwgt48","hhwgt49","hhwgt50","hhwgt51","hhwgt52","hhwgt53","hhwgt54","hhwgt55","hhwgt56","hhwgt57","tspsu","tsstrata"
100012,6056.91341191384,5772.43400256905,6347.95755407654,6023.92262196694,6094.86989795944,6129.12761957585,6049.01264049278,6430.02944891235,5682.65872616294,6018.88727486461,6080.98192230223,0,12312.0771417553,6129.49278430182,6028.62505634456,6089.09267685137,6035.67968716908,5995.15777751707,6134.46291657255,6053.98403246991,6055.58251767665,6306.35774693844,5638.32566565967,6234.94174784279,5741.99928573927,6392.02311636455,6247.78070174478,5868.96738050841,6095.33847580151,6023.34715395837,5999.29302756269,6115.73822766541,6243.04942622466,5864.41658038078,6112.42328406364,5991.15077080112,6106.16977355425,5991.84934119698,5904.35696595322,6228.26141933693,6141.4237612432,6090.85525161037,6052.21235515174,6054.60770446852,6149.49731773054,5931.97458929256,6072.06993957123,5958.30975666846,6188.9539530807,5905.07173399411,6108.07454822809,6022.21389381939,6110.89027918728,6005.50941222466,6069.7902623334,5871.3164958119,5640.81201645878,6526.2798963217,14,15
100015,26741.1845581205,26393.3752991402,27113.9134456668,26272.7017690642,26982.6290741688,27054.9740094751,26501.8682410594,25526.1160309099,28094.3140531946,27179.3848271888,26356.6674406016,25863.0297641108,27478.6781873564,27333.6955314444,26318.0097935289,25803.5989374553,27723.1838753134,26091.5988994733,27770.5604796211,0,52749.2632609944,25626.4824076997,26984.2768745815,27879.1561775569,27402.2130783987,26163.8143671781,26697.33236773,26827.0180807799,26862.5415553222,26600.2699355717,26351.2783170253,27084.2054869698,26934.4223908454,26513.7386535736,26808.503705365,26672.6392361116,25129.2828040152,28566.7148359945,26877.6925491423,26647.2187018898,26366.6430988784,26564.0619721839,26850.6188615598,26407.0558599023,26758.2794508557,27103.873976127,26583.6839593685,27333.5214911582,27694.797531475,25772.4470658865,26244.6469153221,27320.5998105457,26943.7663326787,26586.4485287431,26143.8069371686,27194.7768583952,25024.4612996048,28997.8243478775,13,17
100024,31665.5790656652,32544.8365977908,30772.9784490651,30491.8621028248,32866.9477077675,30500.5260695538,33037.1388163875,31513.4595137374,31877.283398145,32098.1847724491,31335.8076019988,31860.8675894971,31555.9996864581,31302.5437295223,32226.875295934,32770.8714031857,30691.4034924206,32262.1517447742,30988.2025632529,31379.8816410205,31925.17363219,30372.2899367761,30207.3741160439,35295.2525851247,32353.2611605911,30778.5761412822,0,61987.567029774,31758.3771998583,31518.6853900489,30970.1414628319,32441.8231664143,30856.0208205367,32642.7209449492,31910.9363821641,31896.1589963136,31869.0254064047,31496.8221154539,31826.8405616757,31497.1889620078,31633.8445332294,31814.2701012997,31815.1156134395,31652.6212177051,31574.021152558,31587.2822043309,31625.7802678191,31596.7727008508,31323.2393291458,31991.8777275214,32232.3327379756,31103.8466241325,32283.3878194194,31127.004810213,32606.3398179837,30991.5941759766,30855.7924616429,32316.7575060988,12,7
100026,5686.76197730133,5721.88507402934,5654.86390540997,0,11157.6736649377,5702.08822337831,5662.42639940838,5686.02185781709,5691.25941304805,5780.5613030844,5672.6274446641,5607.84815421069,5766.73764502715,5691.77042656958,5669.41823645194,5616.1486536909,5751.31746667911,5771.36351447127,5599.24615930974,5615.22596441543,5761.63379678708,5731.47038021955,5702.7229416321,5607.92124258299,5607.97845713004,5729.13267784466,5515.83018135004,5846.45240832833,5853.72539901444,5528.8604873359,5397.60686295122,6060.80224083662,5743.6711026372,5637.2562045131,5611.65717017815,5777.84536372147,5643.87901222609,5677.22487066552,5795.43905615464,5578.48673953855,5648.06744081502,5717.39905247068,5722.67256713145,5710.69160559499,5670.69468198668,5654.07611592864,5683.48043416052,5681.79612141866,5630.88762804135,5747.76825976532,5669.46382915113,5703.21674817249,5494.16878831499,5875.91926564297,5818.1690660904,5583.42757054537,5186.11968392169,6297.10414862858,35,14
100028,1067.4314173177,1016.53062994504,1119.34376922823,1044.76336296862,1099.9341792721,1096.6583463123,1047.2790897313,1142.45860133132,991.115157417279,1034.96593733893,1099.19843736612,1023.86113745539,1110.41675004392,1087.46808159278,1048.94321182899,1068.96506065704,1066.07529948551,1048.02837083652,1087.04334061961,1076.62097469118,1057.78246484291,1107.08351825738,1025.02829631861,1064.6322147551,999.287537159745,1138.1145471943,1083.68299793686,1050.08270273478,1073.94466774433,1062.78963985039,0,2183.26138635715,1117.49379196205,1017.68436824956,1068.97764451332,1066.04765417848,1053.77645979774,1077.13492966115,1050.7174945765,1085.71059402522,1078.4227716125,1069.94890479178,1066.70266984885,1069.90781754211,1083.12942004475,1050.13280905155,1071.15673016111,1049.42868944557,1103.54238396429,1034.10291339027,1074.3015879821,1062.91096220691,1075.05397018669,1057.60783075711,1058.22359260171,1046.41024997564,1004.75520307531,1128.16868568371,51,24
100031,24517.3325552212,47280.2830934588,0,24027.2250239452,25068.618795655,24417.0052886901,24801.0333935898,24321.7444842841,24686.9435724004,24447.7349676484,24510.8843598364,24206.8336412796,24846.37859457,23962.6492891581,25029.6441512656,24723.2816422366,24330.7041174592,24679.1780958477,24335.192201732,24658.2810935277,24383.5341792408,24519.4578004193,23948.5233121125,25128.3215499911,25197.923225217,23259.3399191824,24753.087400167,24295.2831857328,24586.4863462781,24452.9933576359,24225.9858553858,24777.1697163853,24173.3781139099,24896.0653865127,24515.7595638537,24491.2651663484,25162.3149199639,23978.5372978386,24403.4034502817,24639.5218686292,24673.0536403301,24706.7747384969,24437.9650739896,24441.9012881122,24497.9093687298,24348.039465765,24525.1224185077,24498.1629830602,24766.6674262552,24247.7099895892,24469.3968288062,24569.5971435308,24830.2297875743,24240.9392756899,26255.5779217162,23063.1771166357,24487.3066840778,24621.5003297498,16,10
100040,3376.15078406199,3433.99792241111,3319.03648443218,3332.75137667071,3404.96738685348,3455.58537651215,3257.27806200571,0,6637.14171923012,3360.36392238786,3373.63938500897,3283.15450262022,3464.36371057884,3290.47085007765,3459.78817609148,3349.48467405161,3404.39747499433,3395.27706386383,3362.95321427107,3364.47883964373,3386.49178197897,3379.00070573101,3577.02302679338,3180.6809161422,3323.88815637359,3437.65545958034,3400.15617403406,3358.28844541232,3260.50985709912,3510.02860942667,3404.90721149347,3334.21233923138,3403.08417623118,3350.95388370236,3626.31218546236,3150.05199767005,3362.09836692002,3399.97436219817,3584.83876567844,3184.3195902453,3466.52313379961,3407.26824022771,3341.82632564336,3388.2610014866,3381.53499146198,3318.62523561367,3365.00945060856,3344.99387735062,3386.00451939948,3377.9351242334,3273.35494293553,3504.17009739769,3396.49221262221,3357.65907149636,3444.77481328624,3308.51963338951,4019.93276496175,2922.2629064632,43,12
100049,1260.17329864625,1287.32412086078,1231.84321480678,1261.01691984709,1266.67355426736,1278.30555720085,1233.72065089827,1306.58148670496,1216.8631244143,1278.1211456165,1232.82634166677,1244.59560471387,1275.60694975485,1257.25911759933,1257.07051780626,1239.25064069079,1283.85183862465,1273.17481865545,1240.24256601645,1249.33847895152,1271.62998586176,1241.35089094101,1297.91135757588,1240.37614754075,1250.10468997762,1268.81380912859,2572.52453328408,0,1275.68822030681,1243.22392871166,1259.23672050828,1262.66538222947,1237.27551607435,1287.58724196043,1283.22800627669,1240.51324791237,1261.1969451795,1258.82038887867,1305.02514895014,1223.74931217796,1235.79246524518,1252.61958417468,1259.43185805824,1248.81850585879,1245.2485840693,1361.615550957,1245.45115601089,1247.84683801084,1319.768268647,1227.83874889008,1188.76071115271,1330.09441400992,1229.59836450135,1284.36344842186,1304.25194213814,1215.09873321502,1260.58575686586,1255.72667440742,21,7
100053,8672.99519125838,8694.08934513574,8662.57874606959,8507.4221531663,8928.46218253358,0,17063.8571814606,8726.91592546023,8590.42663179932,8720.63942867423,8620.83069732459,8314.4212570064,9034.71888510812,8528.47606513612,8799.92133853845,8777.91819494189,8566.74065048953,8839.17859300681,8501.0075266162,8730.13199597924,8621.67312307008,8789.96741521829,8646.53502820339,8527.93210613722,8811.77705747207,8560.75446793367,8743.47786072423,8601.91022531369,8768.40696116218,8587.0039014956,8575.75479029588,8776.02832016571,8706.07018239443,8646.09452139155,8656.9173311444,8704.64951921275,8605.94704485624,8751.81827039594,8747.89789714743,8593.21044229489,8647.51718122202,8718.15312526821,8683.49363064328,8674.01273407272,8673.25032263895,8628.70795587387,8687.28619410997,8665.87633627695,8688.74954631026,8651.86471677407,8700.31161048197,8640.60714542871,8632.88746554006,8707.42794816547,9271.48687625935,8182.6849407531,8584.59511843188,8750.85394108595,52,11
100054,65768.4565975434,62085.6353709278,69763.2836710063,64631.145197852,67097.1512295091,61231.8304030043,71610.9385527902,65880.9330353641,65664.0308639888,67827.9015655085,64974.8769032634,67082.5619359166,64652.2657790796,67726.9919332053,64149.5262112349,65180.0783837274,66366.5740555804,67174.4422769285,62145.551476374,69003.6559318062,62596.734208272,65214.4710801218,63702.0956168306,68717.722980286,65556.7844619324,66018.3667925485,67863.3218657341,63816.293963264,65573.6979300088,65982.2172708232,64431.5276284843,67065.8204417882,72234.353419349,57001.347025569,64953.3965913484,66540.4497602574,0,120531.504768162,64137.6674882561,67448.4778364141,66300.3556656572,65598.0236140674,65394.6999336983,65340.0071152182,65296.3843320946,67225.2639220572,65824.5860591737,65356.466025777,73094.8510538274,59448.8558253621,66619.0624267513,65014.7225293496,65792.9954138828,65790.9516463488,72026.7561170065,60722.1721532248,63664.024816295,67869.7379178695,50,21
